"";"";"";"";"bullet";""
"1";"bullet";"-0.690132998283821";"-1.66153585089206";"0.842053087845421";"211"
"2";"break";"-0.690132998283821";"-1.66153585089206";"0.842053087845421";"212"
"3";"communication";"-0.490857115744983";"-1.2429631672833";"0.841672901452434";"219"
"4";"picture";"-0.647395616050716";"-1.11920282494712";"0.836770733373453";"255"
"5";"risk";"-0.628728992801667";"-1.27799114562139";"0.835080022119936";"257"
"6";"incident";"-0.625600076831316";"-1.26468842048319";"0.834834019159768";"258"
"7";"likelihood";"-0.690132998283821";"-1.66153585089206";"0.831282630971163";"269"
"8";"incendiary";"-0.690132998283821";"-1.66153585089206";"0.831282630971163";"270"
"9";"conjunction";"-0.690132998283821";"-1.66153585089206";"0.831282630971163";"273"
"10";"california";"-0.690132998283821";"-1.66153585089206";"0.831282630971163";"274"
"11";"alberta";"-0.690132998283821";"-1.66153585089206";"0.831282630971163";"275"
"12";"technology";"-0.433708704885192";"1.59246230477756";"0.828800237464014";"286"
"13";"compromise";"-0.433708704885192";"1.59246230477756";"0.828800237464014";"297"
"14";"public";"-0.611863748130955";"-1.72341602206015";"0.82615235105639";"308"
"15";"pretty";"-0.623045069581364";"-1.71457599760756";"0.825803474131061";"309"
"16";"research";"-0.497963489328936";"-1.1221205278607";"0.82546354276792";"311"
"17";"train";"-0.51727779548123";"1.37596554381467";"0.818114763430542";"336"
"18";"understand";"-0.631431060669171";"-1.70794597926813";"0.817014459281427";"345"
"19";"develop";"-0.631431060669171";"-1.70794597926813";"0.817014459281427";"348"
"20";"restrict";"-0.631431060669171";"-1.70794597926813";"0.817014459281427";"349"
"21";"kind";"-0.626026924934164";"-0.848036311974653";"0.817014459281427";"351"
"22";"false";"-0.631431060669171";"-1.70794597926813";"0.817014459281427";"353"
