"";"";"";"";"everything";""
"1";"everything";"-0.507022672328767";"-0.055970755052289";"0.891566803126163";"131"
"2";"please";"-0.634160938738926";"-0.197061172559842";"0.884272422776331";"141"
"3";"they_re";"-0.552023520167264";"0.0253118126891115";"0.872958689988835";"156"
"4";"doesn_t";"-0.557874994365456";"-0.568536680892198";"0.869713435057685";"159"
"5";"not";"-0.520070516200387";"-0.242554390586216";"0.868031261630071";"162"
"6";"look";"-0.519228558625454";"-0.0340268791335337";"0.8670189802754";"165"
"7";"me";"-0.605756819285846";"-0.233935499234382";"0.864160774097507";"171"
"8";"wouldn_t";"-0.58576808570842";"-0.316158321337894";"0.861332340900633";"174"
"9";"really";"-0.56555273459298";"-0.104612883890518";"0.85408262002233";"180"
"10";"name";"-0.571293646862525";"-0.477995224849886";"0.850360997394864";"185"
"11";"use";"-0.636393325930658";"-0.102139990199596";"0.850033494603647";"186"
"12";"by";"-0.538266488840295";"-0.0423644993308308";"0.848976553777447";"187"
"13";"came";"-0.43200443243149";"0.203911153790172";"0.845820617789356";"190"
"14";"here_s";"-0.432959906082052";"0.380941483885071";"0.845820617789356";"193"
"15";"until";"-0.220120420051636";"-0.162216132315597";"0.843557871231857";"199"
"16";"should";"-0.5296419950077";"0.0682472524796348";"0.841756605880164";"203"
"17";"got";"-0.499190731016542";"0.158217086832375";"0.841756605880164";"204"
"18";"their";"-0.585884680017505";"-0.251677669808408";"0.841607740975065";"206"
"19";"then";"-0.503506208901559";"0.14813134460458";"0.838094529214738";"211"
"20";"much";"-0.569954019353707";"0.269406839025375";"0.837037588388537";"213"
"21";"getting";"-0.53748930452866";"0.563943297545641";"0.835935988090808";"215"
"22";"2";"-0.173857216487439";"0.360193666714049";"0.835935988090808";"216"
"23";"see";"-0.59790421659579";"0.049376502026247";"0.834283587644213";"217"
"24";"out";"-0.530497478182006";"0.211360627387765";"0.834075176777075";"218"
"25";"best";"-0.543509750246795";"0.094604132408633";"0.833345738742092";"222"
"26";"four";"-0.445708839967083";"0.0426709078852518";"0.833345738742092";"224"
"27";"want";"-0.529756502518101";"0.0232060780261309";"0.832512095273539";"225"
"28";"anything";"-0.416751419312986";"0.495622827679161";"0.83246743580201";"226"
"29";"didn_t";"-0.478423016783339";"0.112469623105021";"0.832169705991813";"228"
"30";"we_re";"-0.596779065050432";"-0.186819942902928";"0.831782657238556";"231"
"31";"other";"-0.594261878412217";"-0.210719522919254";"0.827420915519166";"236"
"32";"get";"-0.591957292505906";"0.0254562501830141";"0.826393747673986";"238"
"33";"done";"-0.471878765356367";"0.157831601801637";"0.8259620394492";"240"
"34";"away";"-0.449568965161823";"0.635394249909445";"0.8259620394492";"241"
"35";"possible";"-0.446534511907837";"-0.298406436318068";"0.8259620394492";"243"
"36";"took";"-0.495507311699542";"0.529793323034775";"0.825783401563082";"245"
"37";"you_re";"-0.541445658237262";"0.424192396160104";"0.824443617417194";"249"
"38";"about";"-0.530713720323146";"-0.0610450715985809";"0.823565314477112";"252"
"39";"don_t";"-0.530469519687252";"0.189149295767494";"0.823356903609974";"253"
"40";"something";"-0.594156925076191";"-0.105390989711683";"0.822567919612951";"254"
"41";"make";"-0.55777975470518";"-0.312440414950556";"0.822195757350205";"255"
"42";"will";"-0.479627124969555";"0.397941957645028";"0.821555638258281";"256"
"43";"go";"-0.517148848245487";"0.31606511838555";"0.821555638258281";"257"
"44";"but";"-0.531263911688941";"-0.0227081896527137";"0.817714923706736";"259"
"45";"tried";"-0.513149231261682";"0.246238216808206";"0.816851507257164";"260"
"46";"many";"-0.519924587269571";"0.444504736220734";"0.816851507257164";"261"
"47";"different";"-0.557168594197195";"-0.226446804679514";"0.816851507257164";"262"
"48";"might";"-0.652829077101524";"-0.665059534394786";"0.816851507257164";"263"
"49";"my";"-0.587043446423348";"-0.543288415603836";"0.816419799032378";"264"
"50";"here";"-0.51094038355835";"0.0197902777830045";"0.814439895794566";"265"
"51";"needs";"-0.533966224195623";"-0.13480021104409";"0.814439895794566";"266"
"52";"whatever";"-0.658401954050482";"-0.228373472167666";"0.813844436174172";"267"
"53";"even";"-0.521551646103127";"0.0259849055474815";"0.81293636025307";"268"
"54";"very";"-0.46529228576714";"0.312248941142711";"0.812370673613696";"269"
"55";"nothing";"-0.52649617087214";"0.412686647448374";"0.811179754372907";"270"
"56";"being";"-0.587997274564029";"-0.398194635289041";"0.806296985485672";"271"
"57";"especially";"-0.501054582996094";"0.662328181596864";"0.806133234090063";"272"
"58";"right";"-0.526291719193398";"0.128874691145407";"0.804599925567547";"273"
"59";"ever";"-0.614525126642108";"-0.189191915177693";"0.8";"274"
