"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"mass";"chi.distance";"inertie"
"classe 1";-0,324555455606657;0,46074182688944;-0,126073931626642;0,272565320306615;-0,00102102582633795;0,220669779038066;-0,452214674851639;-0,351243278923531;-1,55641671277855;-0,274561136548691;3,15847613952927;-0,0891347974652832;0,126536555507319;-0,0346245122892403;0,0748564049745458;-0,000280411031967845;0,0606039914642661;-0,124194687710259;-0,0964642497516184;-0,427448949227438;-0,0754045291038501;0,867433056916689;0,0247395199230498;0,0364099669196718;0,00251940514380813;0,0103968030227197;1,29004928440636e-07;0,0056559518112973;0,022310787301668;0,0116504297297848;0,206720361396342;0,00573583055625188;0,673860815190486;0,00738778650332635;0,0148885289203551;0,00111477469541401;0,00521047965494415;7,31155857903325e-08;0,00341524786998938;0,0143425314869814;0,00865271808809099;0,169898005316571;0,00528706484201463;0,699667513752305;0,0701352757544225;1,58671929306328;0,176578048854943
"classe 2";-0,345395514108192;0,981890910548733;0,230987643805841;0,679154138362701;-0,00619904119315353;0,274576805750951;-0,426531003508174;-0,481270147883009;-1,35864618450685;1,12547288561553;-1,25016701433638;-0,132819672576265;0,377579974023178;0,0888248456227621;0,261164452349817;-0,0023838023017969;0,10558678369359;-0,164019814721264;-0,185069408407339;-0,522458845011709;0,432793519472559;-0,480743862405209;0,0414265391596596;0,244491244531206;0,0125042239619259;0,0954392791474944;7,03094529975385e-06;0,0129473087486573;0,0293466565273325;0,0323396693372558;0,232903523438763;0,142501713337073;0,156092810865338;0,0153684703146291;0,124200612190443;0,00687344963471653;0,0594201795468384;4,95046850181529e-06;0,00971236407423697;0,023436808202775;0,0298383707170912;0,237798989062193;0,163180150855838;0,201341513413488;0,128824141519251;1,30492090519811;0,219364140291669
"classe 3";2,38063978518548;-0,270139805612519;-0,0715931502344434;0,0644786464902405;0,14170383489017;-0,0895099407903469;-0,0210113380151924;0,0632775833293328;-0,0408181441040247;-0,0115463648424224;-0,0517862222460389;0,989640213055272;-0,112298053844485;-0,0297615207862253;0,0268039969117569;0,0589067754912491;-0,0372095927429113;-0,00873448606518656;0,0263047107913407;-0,0169682440321313;-0,00479986389951829;-0,0215277121452058;0,986594636341533;0,00927726806828887;0,000602182734180006;0,00043124927746165;0,00184176404245504;0,00068976389105331;3,5700224490426e-05;0,000280261604186755;0,000105384303342995;7,51876780663994e-06;0,000134270745200295;0,835078380241426;0,0107526876836774;0,000755236221774826;0,000612592521139457;0,0029587145869692;0,00118054461731661;6,50499975512128e-05;0,000589983185601761;0,000245497104843418;1,96440222852495e-05;0,000395155769547851;0,147346514047867;1,84302461119875;0,50049775649925
"classe 4";-0,326759634259911;0,809738702088894;0,524978519084236;-0,00411594155115944;-1,3511695569001;-1,2483201732963;-1,64793209063243;1,80517833981221;0,892271219646112;-0,254231943275929;0,0221765574744567;-0,0973877811370635;0,241335364681298;0,156465143664496;-0,00122671949938107;-0,402703979591869;-0,372050642366864;-0,491151393698766;0,538017229298166;0,265933442025698;-0,0757715527068825;0,00660952424734938;0,0198228626110447;0,0888977823114852;0,0345323881382818;1,87410166412777e-06;0,178586521686719;0,143076427082782;0,234207254399837;0,243255268497167;0,0537058237790379;0,00388753710964363;2,62602823401105e-05;0,00871062821311446;0,0534912158457768;0,0224841120990535;1,3820732866189e-06;0,148940352804473;0,127129006448062;0,221549766645531;0,265847697128544;0,064951090182775;0,00527294096667788;4,01218486900748e-05;0,0815816857440167;1,78464581665521;0,259834462192452
"classe 5";-0,287427075192089;-0,45222159939547;0,415595353520733;-0,989180202129355;-0,716955057361384;0,898757932981441;0,462914260906394;-0,445049750137538;1,49710192501125;2,28984151013573;0,712322755866412;-0,0860214836368235;-0,135341365759012;0,12437982357275;-0,296042912848323;-0,21457107926918;0,268981239063022;0,138541476975331;-0,13319496701361;0,448054271362384;0,685306225460564;0,21318471910466;0,01860659370802;0,0336361043223058;0,0262534793647135;0,131312942936483;0,0609978876210065;0,0899712049707362;0,0224194418523803;0,0179366405723889;0,18341392513501;0,382584275672087;0,0328675038448706;0,00679139600491657;0,0168114938832715;0,0141985851525222;0,0804367537049833;0,0422559206949107;0,0664032257499154;0,0176158995037362;0,0162824902473479;0,18424955227463;0,431037000189089;0,0417116472148641;0,0822060353798127;1,62032100064576;0,21582702545844
"classe 6";-0,386101387533552;-0,582219907720996;0,872666584668773;-1,81802456278266;-1,40325815187598;-1,39159010517491;1,71627966900556;-0,567332777331046;-1,25843078038469;-0,916006984131223;-0,499970775406565;-0,101744384778612;-0,153425002420602;0,22996271870756;-0,479080875192794;-0,369782761621873;-0,366708029772934;0,452269338233952;-0,149501986416126;-0,33161824761788;-0,24138366258848;-0,13175093535919;0,0204431886630187;0,0339477955714689;0,0704817345813199;0,2700788558531;0,142278889418473;0,131333378408822;0,187643783120456;0,0177473748297307;0,0789082879397788;0,0372776243006525;0,00985908731318007;0,0096797452266523;0,0220107734724981;0,049449043499523;0,214615307595191;0,127860485646534;0,125743014047047;0,191265798439012;0,0208995508497518;0,102830007295342;0,0544827188413901;0,0162311929642706;0,0649323621227888;2,07650923320627;0,279981241586754
"classe 7";-0,414017375552888;-0,273395847844642;-0,82804241089819;-0,776864557167023;-0,15263337853614;2,33119788829959;0,0634517217482208;1,28919635100516;-0,298697728616;-1,09045700775519;-0,5377325996957;-0,129464941447503;-0,0854920095706844;-0,258932278143697;-0,242928752137412;-0,0477290871880127;0,72897519749795;0,0198416151735335;0,403137017798659;-0,093404012075896;-0,340990405225181;-0,168151202449049;0,0348453280231654;0,0110964181557832;0,0940690074817551;0,0731043495749075;0,00249531779065241;0,546351630222844;0,000380194995393383;0,135849490951925;0,00659005904078791;0,0783121706482106;0,0169060331145779;0,0152681885009681;0,00665785306072833;0,0610738839245213;0,0537577388549491;0,00207514960419493;0,484070547015303;0,000358622223709518;0,148043216453376;0,00794720136491009;0,105917439314528;0,025756278309243;0,0890738813735692;1,70550545157121;0,259093549595244
"classe 8";-0,705222985783642;-2,27552425382887;2,913701518498;1,30305937579518;1,34514945842584;0,344524141136162;-0,405223644375346;0,223242359626244;0,132125129556379;-0,585835916082267;-0,0959247724011036;-0,164517759052567;-0,530845078019824;0,679722093627868;0,30398386430931;0,31380283818328;0,0803722237956393;-0,0945324914695838;0,0520790352437331;0,0308227761535475;-0,136666577847381;-0,0223777853405061;0,0406035582323721;0,308720648336501;0,467773133796338;0,0826008976156625;0,0778344148971733;0,00479244385214482;0,0062274877872365;0,00163597568069844;0,000517845339809869;0,00907753450140367;0,000216059960661225;0,0256691334027146;0,267252161536176;0,438175821362454;0,0876368380308508;0,0933897840259784;0,00612629077809599;0,00847515881088192;0,00257224005839965;0,000901009025047223;0,0177137404166167;0,000474919326978246;0,0516129032258065;2,69123259786565;0,373818472042048
"classe 9";-0,754191353026401;-1,9346297637726;-2,26983046558288;1,73109736374818;-0,640984900365193;-1,00267895471811;0,488045031292693;0,145326564445109;0,0480620761037793;0,380648986052506;-0,139227584213843;-0,199422816363643;-0,511553619070671;-0,600187183661189;0,457735706320482;-0,169488835379052;-0,265127756047662;0,129048568724792;0,0384271613003784;0,0127085447724086;0,100650972117282;-0,0368144726772795;0,0601844645448825;0,289206864862896;0,367910449853504;0,188933719057085;0,0229053170938987;0,0526079819762084;0,0117072056497164;0,0008985117817588;8,88064278019362e-05;0,00496678548330988;0,000589893268935944;0,0371705813635078;0,244586220475067;0,336684480237522;0,195830009987852;0,0268492311641622;0,0656991960619495;0,0155652480971527;0,00138014993646064;0,000150952847461669;0,0094685965209156;0,00126673809462875;0,0653485952133195;2,36399291606145;0,365198174247089
"classe 10";-0,285932594482525;0,523467702908955;-0,310477196118067;0,205788672418341;-0,24919138586181;0,244772003420297;-0,756916019822878;-2,34683050828063;1,37540409877094;-1,50943212522583;-0,292486948665484;-0,0863977333288601;0,158171624623799;-0,0938141593946204;0,0621813503769209;-0,0752959659688377;0,0739606001062957;-0,228710646127459;-0,709121101738733;0,4155937407559;-0,456091808872968;-0,0883782047958049;0,0187292373149054;0,0458420583873411;0,0149034274030918;0,00578070588625914;0,00749511361380609;0,00678770232024275;0,0609677698556354;0,507304450532556;0,157460430776122;0,169092632503175;0,00563647140686606;0,00684006125539611;0,0229251636352734;0,00806477167582797;0,00354303621928671;0,00519515742115862;0,00501252031855799;0,0479322764095592;0,460782643227446;0,158268063857688;0,190616213724627;0,00715724105850934;0,0836628511966701;1,60660990889765;0,215950166606865
"classe 11";-0,639633936073033;-0,171014899518015;-0,967285681616621;-1,89650898666681;2,75038444827585;-1,26244107344151;-0,841070977911313;0,114594395444205;0,0805330794283302;0,357860907650549;-0,180129740954502;-0,165061096987476;-0,0441313465776204;-0,249613453420158;-0,489404698737073;0,709752013717219;-0,325779944922295;-0,217043046700573;0,0295717215017769;0,0207820093408896;0,0923479988388064;-0,0464834821375476;0,0489036525043075;0,00255292328981512;0,0754782459006724;0,256172963343385;0,476414001292755;0,0942121844936772;0,0392785773518629;0,000631128099751189;0,000281672830639448;0,00495919933880365;0,00111545155433071;0,0255441148080924;0,0018259789296872;0,0584167485865056;0,224562726524951;0,472296437876231;0,0995061892140787;0,0441665175786489;0,000819888166527959;0,00040492675643349;0,00799569797447294;0,00202581000476604;0,0624349635796046;2,22416842699382;0,308861094170832
"classe 12";-0,298528417235801;1,7164249193464;0,192852211612512;1,01046248272465;1,03596033177116;-0,287048565005877;2,38756449732743;0,779777449163259;0,996657782079211;-0,351678616081196;0,232333669574102;-0,0836750241497158;0,481099581431273;0,0540548655750145;0,283224201659778;0,290371035969517;-0,0804573173683367;0,669214404520409;0,21856511180509;0,279354859268249;-0,0985725813509043;0,0651211887712834;0,0131263202571768;0,316893131032136;0,00369704609150449;0,0896101503494226;0,0832870152034132;0,00600190254846563;0,390026410933848;0,0360101923503356;0,0531596126423487;0,0059015801247487;0,00228663846660202;0,00649151416525688;0,214597310367046;0,00270909291016503;0,0743729552857278;0,0781737425913001;0,0060018538054478;0,415226322604461;0,0442910519413623;0,0723547049121057;0,00900879233154521;0,00393186824270942;0,072840790842872;2,00364604219449;0,292426454077122
