"";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic";"X.phase_Unknown"
"chinese";47,19;166,67;81,97;51,6;0
"month";8,14;0;0;0;0
"to";4,88;0;0;12,29;0
"fly";33,36;0;8,2;19,66;0
"says";8,95;0;24,59;2,46;0
"defence";13,02;0;0;0;0
"military";0,81;0;8,2;19,66;0
"taipei";8,14;0;8,2;0;0
"two";11,39;0;0;0;0
"https";13,02;0;16,39;9,83;0
"more";7,32;0;16,39;9,83;0
"shoot";0,81;0;32,79;14,74;0
"trump";0;0;8,2;29,48;0
"six";9,76;0;0;0;0
"such";9,76;0;0;0;0
"a";27,66;0;98,36;22,11;0
"over";30,11;0;32,79;34,4;0
"ly";11,39;0;8,2;2,46;0
"day";10,58;0;8,2;0;0
"directly";10,58;0;0;0;0
"year";4,88;0;8,2;9,83;0
"saturday";6,51;0;0;4,91;0
"ministry";30,11;0;0;0;0
"one";11,39;0;0;9,83;0
"least";0;0;0;24,57;0
"that";5,7;0;32,79;31,94;0
"were";13,02;0;0;12,29;0
"and";19,53;0;57,38;27,03;0
"have";5,7;0;8,2;9,83;0
"buff";9,76;0;0;0;0
"said";26,85;0;0;14,74;0
"eight";9,76;0;0;0;0
"report";13,02;166,67;0;0;0
"during";0;0;8,2;29,48;0
"defense";13,02;0;0;2,46;0
"detect";27,66;0;0;4,91;0
"across";10,58;0;0;7,37;0
"s";27,66;0;40,98;56,51;0
"three";4,88;0;0;14,74;0
"is";3,25;0;16,39;9,83;0
"strait";14,65;0;0;0;0
"it";23,6;0;16,39;17,2;0
"in";29,29;166,67;32,79;7,37;0
"around";9,76;0;0;0;0
"balloon";53,7;166,67;98,36;86;0
"administration";0;0;16,39;29,48;0
"cross";12,21;0;8,2;0;0
"the";100,08;166,67;106,56;144,96;0
"just";7,32;0;8,2;2,46;0
"taiwan";64,28;0;0;0;0
"had";10,58;0;8,2;4,91;0
"has";12,21;0;16,39;12,29;0
"which";8,95;0;0;0;0
"election";8,95;0;0;0;0
"for";6,51;0;0;19,66;0
"of";39,06;166,67;65,57;27,03;0
"on";17,09;0;0;12,29;0
"island";34,99;0;0;0;0
"down";0;0;32,79;17,2;0
"was";0,81;0;24,59;24,57;0
"with";13,02;0;16,39;7,37;1000
"at";4,07;0;0;29,48;0
"u";14,65;0;24,59;46,68;0
"time";4,07;0;0;12,29;0
